"Privato/Pubblico";"Regione";"Codice edificio";"DO_Y";"DO_X";"Agibilità";"Provincia";"Codice ISTAT";"ID";"X Gauss-Boaga";"gid";"Y Gauss-Boaga";"Comune";
"privato";"Toscana";"CASO_0024_00503";"44.1994076483709";"10.1756557717631";"E";"MASSA-CARRARA";"9450004";"90";"1593970";"90";"4894710";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_304+";"44.2004929321135";"10.1751767592928";"A";"MASSA-CARRARA";"9450004";"91";"1593930";"91";"4894830";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_413+";"44.200220324249";"10.1754216354592";"A";"MASSA-CARRARA";"9450004";"92";"1593950";"92";"4894800";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_347+";"44.1997805609332";"10.174411725103";"A";"MASSA-CARRARA";"9450004";"93";"1593870";"93";"4894750";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_993+";"44.1743018583634";"10.183162849415";"A";"MASSA-CARRARA";"9450004";"94";"1594610";"94";"4891930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00484";"44.1750361874068";"10.1818014989507";"B";"MASSA-CARRARA";"9450004";"95";"1594500";"95";"4892010";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00638";"44.1733039601761";"10.1838934410814";"E";"MASSA-CARRARA";"9450004";"96";"1594670";"96";"4891820";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00592";"44.17421314195";"10.1830359839063";"E";"MASSA-CARRARA";"9450004";"97";"1594600";"97";"4891920";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00597";"44.1741205404152";"10.183284316452";"E";"MASSA-CARRARA";"9450004";"98";"1594620";"98";"4891910";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0010_99+";"44.2242287732977";"10.1782779408438";"A";"MASSA-CARRARA";"9450004";"99";"1594140";"99";"4897470";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0010_95+";"44.2243174931359";"10.1784049083016";"A";"MASSA-CARRARA";"9450004";"100";"1594150";"100";"4897480";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0010_99+";"44.2242287732977";"10.1782779408438";"A";"MASSA-CARRARA";"9450004";"101";"1594140";"101";"4897470";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0010_339+";"44.2236938708765";"10.1777664861882";"A";"MASSA-CARRARA";"9450004";"102";"1594100";"102";"4897410";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_135+";"44.2153300350258";"10.1856112517619";"A";"MASSA-CARRARA";"9450004";"103";"1594740";"103";"4896490";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_219+";"44.2143438127935";"10.185215936533";"A";"MASSA-CARRARA";"9450004";"104";"1594710";"104";"4896380";"Casola in Lunigiana";
